class,is_ptr,direct_bases,ancestors
AIScriptAssist,0,,
AIScriptAssistPtr,1,AIScriptAssist,AIScriptAssist
AnimTSParticleController,0,EmitterController,EmitterController|EffectController
AnimTSParticleControllerPtr,1,AnimTSParticleController,AnimTSParticleController|EmitterController|EffectController
ArtificialIntelligence,0,,
ArtificialIntelligencePtr,1,ArtificialIntelligence,ArtificialIntelligence
AsteroidField,0,ObjectClass,ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
AsteroidFieldPlacement,0,PlacementObject,PlacementObject|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
AsteroidFieldPlacementPtr,1,AsteroidFieldPlacement,AsteroidFieldPlacement|PlacementObject|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
AsteroidFieldPtr,1,AsteroidField,AsteroidField|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
Backdrop,0,ObjectClass,ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BackdropPtr,1,Backdrop,Backdrop|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BackdropSphere,0,Backdrop,Backdrop|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BackdropSpherePtr,1,BackdropSphere,BackdropSphere|Backdrop|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BaseObjectClass,0,TGEventHandlerObject,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BaseObjectClassPtr,1,BaseObjectClass,BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BlinkingLightProperty,0,EffectEmitterProperty,EffectEmitterProperty|PositionOrientationProperty|TGModelProperty|TGObject
BlinkingLightPropertyPtr,1,BlinkingLightProperty,BlinkingLightProperty|EffectEmitterProperty|PositionOrientationProperty|TGModelProperty|TGObject
BridgeEffectAction,0,EffectAction,EffectAction|TGTimedAction|TGAction|TGObject
BridgeEffectActionPtr,1,BridgeEffectAction,BridgeEffectAction|EffectAction|TGTimedAction|TGAction|TGObject
BridgeObjectClass,0,ObjectClass,ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BridgeObjectClassPtr,1,BridgeObjectClass,BridgeObjectClass|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BridgeSet,0,SetClass,SetClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BridgeSetPtr,1,BridgeSet,BridgeSet|SetClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BridgeWindow,0,MainWindow,MainWindow|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BridgeWindowPtr,1,BridgeWindow,BridgeWindow|MainWindow|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
BuilderAI,0,PreprocessingAI,PreprocessingAI|ArtificialIntelligence
BuilderAIPtr,1,BuilderAI,BuilderAI|PreprocessingAI|ArtificialIntelligence
CPyDebug,0,,
CPyDebugPtr,1,CPyDebug,CPyDebug
CameraMode,0,TGEventHandlerObject,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CameraModePtr,1,CameraMode,CameraMode|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CameraObjectClass,0,BaseObjectClass,BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CameraObjectClassPtr,1,CameraObjectClass,CameraObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
ChangeRenderedSetAction,0,TGAction,TGAction|TGObject
ChangeRenderedSetActionPtr,1,ChangeRenderedSetAction,ChangeRenderedSetAction|TGAction|TGObject
CharacterAction,0,TGAction,TGAction|TGObject
CharacterActionPtr,1,CharacterAction,CharacterAction|TGAction|TGObject
CharacterClass,0,ObjectClass,ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CharacterClassPtr,1,CharacterClass,CharacterClass|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
ChatObjectClass,0,TGEventHandlerObject,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
ChatObjectClassPtr,1,ChatObjectClass,ChatObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CinematicWindow,0,MainWindow,MainWindow|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CinematicWindowPtr,1,CinematicWindow,CinematicWindow|MainWindow|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CloakingSubsystem,0,PoweredSubsystem,PoweredSubsystem|ShipSubsystem|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CloakingSubsystemProperty,0,PoweredSubsystemProperty,PoweredSubsystemProperty|SubsystemProperty|TGModelProperty|TGObject
CloakingSubsystemPropertyPtr,1,CloakingSubsystemProperty,CloakingSubsystemProperty|PoweredSubsystemProperty|SubsystemProperty|TGModelProperty|TGObject
CloakingSubsystemPtr,1,CloakingSubsystem,CloakingSubsystem|PoweredSubsystem|ShipSubsystem|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
CollisionEvent,0,TGEvent,TGEvent|TGObject
CollisionEventPtr,1,CollisionEvent,CollisionEvent|TGEvent|TGObject
ConditionEventCreator,0,TGObject|TGConditionHandler,TGObject|TGConditionHandler
ConditionEventCreatorPtr,1,ConditionEventCreator,ConditionEventCreator|TGObject|TGConditionHandler
ConditionScript,0,TGCondition,TGCondition|TGObject
ConditionScriptPtr,1,ConditionScript,ConditionScript|TGCondition|TGObject
ConditionalAI,0,ArtificialIntelligence|TGConditionHandler,ArtificialIntelligence|TGConditionHandler
ConditionalAIPtr,1,ConditionalAI,ConditionalAI|ArtificialIntelligence|TGConditionHandler
ConsoleWindow,0,MainWindow,MainWindow|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
ConsoleWindowPtr,1,ConsoleWindow,ConsoleWindow|MainWindow|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DamageDisplay,0,TGPane,TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DamageDisplayPtr,1,DamageDisplay,DamageDisplay|TGPane|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DamageIcon,0,TGIcon,TGIcon|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DamageIconPtr,1,DamageIcon,DamageIcon|TGIcon|TGUIObject|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DamageableObject,0,PhysicsObjectClass,PhysicsObjectClass|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DamageableObjectPtr,1,DamageableObject,DamageableObject|PhysicsObjectClass|ObjectClass|BaseObjectClass|TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject
DebrisParticleController,0,PointParticleController,PointParticleController|EmitterController|EffectController
DebrisParticleControllerPtr,1,DebrisParticleController,DebrisParticleController|PointParticleController|EmitterController|EffectController
EffectAction,0,TGTimedAction,TGTimedAction|TGAction|TGObject
EffectActionPtr,1,EffectAction,EffectAction|TGTimedAction|TGAction|TGObject
EffectController,0,,
EffectControllerPtr,1,EffectController,EffectController
EffectEmitterProperty,0,PositionOrientationProperty,PositionOrientationProperty|TGModelProperty|TGObject
