qualified_name,scope,owner_class,name,type,dec,hex,value_repr
App.ADD_TO_REPAIR_LIST_MESSAGE,module,,ADD_TO_REPAIR_LIST_MESSAGE,int,11,0xb,11 (0xb)
App.AT_FOUR,module,,AT_FOUR,int,3,0x3,3 (0x3)
App.AT_MAX_NUM_AMMO_TYPES,module,,AT_MAX_NUM_AMMO_TYPES,int,4,0x4,4 (0x4)
App.AT_ONE,module,,AT_ONE,int,0,0x0,0 (0x0)
App.AT_THREE,module,,AT_THREE,int,2,0x2,2 (0x2)
App.AT_TWO,module,,AT_TWO,int,1,0x1,1 (0x1)
App.BEGIN_SEND_FILE_MESSAGE,module,,BEGIN_SEND_FILE_MESSAGE,int,36,0x24,36 (0x24)
App.BIGGEST_POSITIVE_INT,module,,BIGGEST_POSITIVE_INT,int,2147483647,0x7fffffff,2147483647 (0x7fffffff)
App.CHANGED_TARGET_MESSAGE,module,,CHANGED_TARGET_MESSAGE,int,13,0xd,13 (0xd)
App.CHECKSUM_MESSAGE,module,,CHECKSUM_MESSAGE,int,33,0x21,33 (0x21)
App.CLIENT_COLLISION_MESSAGE,module,,CLIENT_COLLISION_MESSAGE,int,21,0x15,21 (0x15)
App.CLIENT_EVENT_MESSAGE,module,,CLIENT_EVENT_MESSAGE,int,12,0xc,12 (0xc)
App.CLIENT_READY_MESSAGE,module,,CLIENT_READY_MESSAGE,int,42,0x2a,42 (0x2a)
App.COLLISION_ENABLED_MESSAGE,module,,COLLISION_ENABLED_MESSAGE,int,22,0x16,22 (0x16)
App.CREATE_OBJECT_MESSAGE,module,,CREATE_OBJECT_MESSAGE,int,2,0x2,2 (0x2)
App.CREATE_PLAYER_OBJECT_MESSAGE,module,,CREATE_PLAYER_OBJECT_MESSAGE,int,3,0x3,3 (0x3)
App.CREATE_PULSE_MESSAGE,module,,CREATE_PULSE_MESSAGE,int,26,0x1a,26 (0x1a)
App.CREATE_TORP_MESSAGE,module,,CREATE_TORP_MESSAGE,int,25,0x19,25 (0x19)
App.CSP_MISSION_CRITICAL,module,,CSP_MISSION_CRITICAL,int,0,0x0,0 (0x0)
App.CSP_NORMAL,module,,CSP_NORMAL,int,1,0x1,1 (0x1)
App.CSP_SPONTANEOUS,module,,CSP_SPONTANEOUS,int,2,0x2,2 (0x2)
App.CT_AI,module,,CT_AI,int,32816,0x8030,32816 (0x8030)
App.CT_ASTEROID_FIELD,module,,CT_ASTEROID_FIELD,int,32788,0x8014,32788 (0x8014)
App.CT_ASTEROID_FIELD_PLACEMENT,module,,CT_ASTEROID_FIELD_PLACEMENT,int,32991,0x80df,32991 (0x80df)
App.CT_ASTEROID_TILE,module,,CT_ASTEROID_TILE,int,32789,0x8015,32789 (0x8015)
App.CT_BACKDROP,module,,CT_BACKDROP,int,32779,0x800b,32779 (0x800b)
App.CT_BACKDROP_SPHERE,module,,CT_BACKDROP_SPHERE,int,32780,0x800c,32780 (0x800c)
App.CT_BACKGROUND_EDITOR,module,,CT_BACKGROUND_EDITOR,int,32989,0x80dd,32989 (0x80dd)
App.CT_BASE_OBJECT,module,,CT_BASE_OBJECT,int,32770,0x8002,32770 (0x8002)
App.CT_BLINKING_LIGHT_PROPERTY,module,,CT_BLINKING_LIGHT_PROPERTY,int,33093,0x8145,33093 (0x8145)
App.CT_BRIDGE_OBJECT,module,,CT_BRIDGE_OBJECT,int,32793,0x8019,32793 (0x8019)
App.CT_BRIDGE_SET,module,,CT_BRIDGE_SET,int,32978,0x80d2,32978 (0x80d2)
App.CT_BRIDGE_WINDOW,module,,CT_BRIDGE_WINDOW,int,33040,0x8110,33040 (0x8110)
