c_symbol,python_class,method,owning_class,binding_kind
EffectController_AddAlphaKey,AnimTSParticleController,AddAlphaKey,EffectController,direct
EffectController_AddColorKey,AnimTSParticleController,AddColorKey,EffectController,direct
EffectController_AddSizeKey,AnimTSParticleController,AddSizeKey,EffectController,direct
EffectController_AttachEffect,AnimTSParticleController,AttachEffect,EffectController,direct
EffectController_CreateTarget,AnimTSParticleController,CreateTarget,EffectController,direct
EffectController_DetachEffect,AnimTSParticleController,DetachEffect,EffectController,direct
EffectController_GetEffectLifeTime,AnimTSParticleController,GetEffectLifeTime,EffectController,direct
GetEmitFromObject,AnimTSParticleController,GetEmitFromObject,,python_wrapper
GetTargetCast,AnimTSParticleController,GetTargetCast,,python_wrapper
EffectController_RemoveAllAlphaKeys,AnimTSParticleController,RemoveAllAlphaKeys,EffectController,direct
EffectController_RemoveAllColorKeys,AnimTSParticleController,RemoveAllColorKeys,EffectController,direct
EffectController_RemoveAllSizeKeys,AnimTSParticleController,RemoveAllSizeKeys,EffectController,direct
EmitterController_SetAngleVariance,AnimTSParticleController,SetAngleVariance,EmitterController,direct
EmitterController_SetDamping,AnimTSParticleController,SetDamping,EmitterController,direct
EmitterController_SetDetachEmitObject,AnimTSParticleController,SetDetachEmitObject,EmitterController,direct
AnimTSParticleController_SetDrawOldToNew,AnimTSParticleController,SetDrawOldToNew,AnimTSParticleController,direct
EffectController_SetEffectLifeTime,AnimTSParticleController,SetEffectLifeTime,EffectController,direct
EmitterController_SetEmitFrequency,AnimTSParticleController,SetEmitFrequency,EmitterController,direct
EmitterController_SetEmitFrequencyVariance,AnimTSParticleController,SetEmitFrequencyVariance,EmitterController,direct
EmitterController_SetEmitFromObject,AnimTSParticleController,SetEmitFromObject,EmitterController,direct
EmitterController_SetEmitLife,AnimTSParticleController,SetEmitLife,EmitterController,direct
EmitterController_SetEmitLifeVariance,AnimTSParticleController,SetEmitLifeVariance,EmitterController,direct
EmitterController_SetEmitPositionAndDirection,AnimTSParticleController,SetEmitPositionAndDirection,EmitterController,direct
EmitterController_SetEmitRadius,AnimTSParticleController,SetEmitRadius,EmitterController,direct
EmitterController_SetEmitVelocity,AnimTSParticleController,SetEmitVelocity,EmitterController,direct
EmitterController_SetEmitVelocityVariance,AnimTSParticleController,SetEmitVelocityVariance,EmitterController,direct
EmitterController_SetGravity,AnimTSParticleController,SetGravity,EmitterController,direct
EmitterController_SetInheritsVelocity,AnimTSParticleController,SetInheritsVelocity,EmitterController,direct
EffectController_SetTargetAlphaBlendModes,AnimTSParticleController,SetTargetAlphaBlendModes,EffectController,direct
EffectController_AddAlphaKey,AnimTSParticleControllerPtr,AddAlphaKey,EffectController,direct
EffectController_AddColorKey,AnimTSParticleControllerPtr,AddColorKey,EffectController,direct
EffectController_AddSizeKey,AnimTSParticleControllerPtr,AddSizeKey,EffectController,direct
EffectController_AttachEffect,AnimTSParticleControllerPtr,AttachEffect,EffectController,direct
EffectController_CreateTarget,AnimTSParticleControllerPtr,CreateTarget,EffectController,direct
EffectController_DetachEffect,AnimTSParticleControllerPtr,DetachEffect,EffectController,direct
EffectController_GetEffectLifeTime,AnimTSParticleControllerPtr,GetEffectLifeTime,EffectController,direct
GetEmitFromObject,AnimTSParticleControllerPtr,GetEmitFromObject,,python_wrapper
