c_symbol,owning_class,method,binding_kind,n_python_aliases
AddContainer,,AddContainer,python_wrapper,2
AddDependencyObject,,AddDependencyObject,python_wrapper,2
AddNameAndInfo,,AddNameAndInfo,python_wrapper,2
AddTextureTrack,,AddTextureTrack,python_wrapper,2
AnimTSParticleController_SetDrawOldToNew,AnimTSParticleController,SetDrawOldToNew,direct,4
Append,,Append,python_wrapper,2
ArtificialIntelligence_GetID,ArtificialIntelligence,GetID,direct,20
ArtificialIntelligence_GetName,ArtificialIntelligence,GetName,direct,20
ArtificialIntelligence_HasFocus,ArtificialIntelligence,HasFocus,direct,20
ArtificialIntelligence_IsActive,ArtificialIntelligence,IsActive,direct,20
ArtificialIntelligence_IsInterruptable,ArtificialIntelligence,IsInterruptable,direct,20
ArtificialIntelligence_IsPaused,ArtificialIntelligence,IsPaused,direct,20
ArtificialIntelligence_Pause,ArtificialIntelligence,Pause,direct,20
ArtificialIntelligence_Reset,ArtificialIntelligence,Reset,direct,20
ArtificialIntelligence_SetInterruptable,ArtificialIntelligence,SetInterruptable,direct,20
ArtificialIntelligence_Unpause,ArtificialIntelligence,Unpause,direct,20
AsteroidFieldPlacement_ConfigField,AsteroidFieldPlacement,ConfigField,direct,2
AsteroidFieldPlacement_GetAsteroidSizeFactor,AsteroidFieldPlacement,GetAsteroidSizeFactor,direct,2
AsteroidFieldPlacement_GetFieldRadius,AsteroidFieldPlacement,GetFieldRadius,direct,2
AsteroidFieldPlacement_GetNumAsteroidsPerTile,AsteroidFieldPlacement,GetNumAsteroidsPerTile,direct,2
AsteroidFieldPlacement_GetNumTilesPerAxis,AsteroidFieldPlacement,GetNumTilesPerAxis,direct,2
AsteroidFieldPlacement_SetAsteroidSizeFactor,AsteroidFieldPlacement,SetAsteroidSizeFactor,direct,2
AsteroidFieldPlacement_SetFieldRadius,AsteroidFieldPlacement,SetFieldRadius,direct,2
AsteroidFieldPlacement_SetNumAsteroidsPerTile,AsteroidFieldPlacement,SetNumAsteroidsPerTile,direct,2
AsteroidFieldPlacement_SetNumTilesPerAxis,AsteroidFieldPlacement,SetNumTilesPerAxis,direct,2
AsteroidFieldPlacement_Update,AsteroidFieldPlacement,Update,direct,2
AsteroidField_GetAsteroidSizeFactor,AsteroidField,GetAsteroidSizeFactor,direct,2
AsteroidField_GetInnerFieldRadius,AsteroidField,GetInnerFieldRadius,direct,2
AsteroidField_GetNumAsteroidsPerTile,AsteroidField,GetNumAsteroidsPerTile,direct,2
AsteroidField_GetOuterFieldRadius,AsteroidField,GetOuterFieldRadius,direct,2
AsteroidField_GetTileSize,AsteroidField,GetTileSize,direct,2
AsteroidField_IsShipInside,AsteroidField,IsShipInside,direct,2
AsteroidField_SetAsteroidSizeFactor,AsteroidField,SetAsteroidSizeFactor,direct,2
AsteroidField_SetInnerFieldRadius,AsteroidField,SetInnerFieldRadius,direct,2
AsteroidField_SetNumAsteroidsPerTile,AsteroidField,SetNumAsteroidsPerTile,direct,2
AsteroidField_SetOuterFieldRadius,AsteroidField,SetOuterFieldRadius,direct,2
AsteroidField_Update,AsteroidField,Update,direct,2
BackdropSphere_Rebuild,BackdropSphere,Rebuild,direct,4
BackdropSphere_SetAlphaBlendModes,BackdropSphere,SetAlphaBlendModes,direct,4
BackdropSphere_SetDecimate,BackdropSphere,SetDecimate,direct,4
BackdropSphere_SetDetailTextureFileName,BackdropSphere,SetDetailTextureFileName,direct,4
BackdropSphere_SetDetailTextureHTile,BackdropSphere,SetDetailTextureHTile,direct,4
BackdropSphere_SetDetailTextureVTile,BackdropSphere,SetDetailTextureVTile,direct,4
BackdropSphere_SetHorizontalSpan,BackdropSphere,SetHorizontalSpan,direct,4
BackdropSphere_SetSphereRadius,BackdropSphere,SetSphereRadius,direct,4
BackdropSphere_SetTargetPolyCount,BackdropSphere,SetTargetPolyCount,direct,4
BackdropSphere_SetTextureFileName,BackdropSphere,SetTextureFileName,direct,4
BackdropSphere_SetTextureHTile,BackdropSphere,SetTextureHTile,direct,4
BackdropSphere_SetTextureVTile,BackdropSphere,SetTextureVTile,direct,4
BackdropSphere_SetVerticalSpan,BackdropSphere,SetVerticalSpan,direct,4
Backdrop_GetModelName,Backdrop,GetModelName,direct,6
Backdrop_SetContainingSet,Backdrop,SetContainingSet,direct,6
Backdrop_SetModelName,Backdrop,SetModelName,direct,6
Backdrop_SetName,Backdrop,SetName,direct,6
BaseObjectClass_AlignToVectors,BaseObjectClass,AlignToVectors,direct,56
BaseObjectClass_AttachObject,BaseObjectClass,AttachObject,direct,56
BaseObjectClass_DetachObject,BaseObjectClass,DetachObject,direct,56
BaseObjectClass_GetName,BaseObjectClass,GetName,direct,56
BaseObjectClass_GetScale,BaseObjectClass,GetScale,direct,56
BaseObjectClass_IsHidden,BaseObjectClass,IsHidden,direct,56
BaseObjectClass_Rotate,BaseObjectClass,Rotate,direct,56
BaseObjectClass_SetAngleAxisRotation,BaseObjectClass,SetAngleAxisRotation,direct,56
BaseObjectClass_SetDeleteMe,BaseObjectClass,SetDeleteMe,direct,56
BaseObjectClass_SetDisplayName,BaseObjectClass,SetDisplayName,direct,56
BaseObjectClass_SetHidden,BaseObjectClass,SetHidden,direct,56
BaseObjectClass_SetMatrixRotation,BaseObjectClass,SetMatrixRotation,direct,56
BaseObjectClass_SetName,BaseObjectClass,SetName,direct,48
BaseObjectClass_SetScale,BaseObjectClass,SetScale,direct,56
BaseObjectClass_SetTranslate,BaseObjectClass,SetTranslate,direct,56
BaseObjectClass_SetTranslateXYZ,BaseObjectClass,SetTranslateXYZ,direct,56
BaseObjectClass_Update,BaseObjectClass,Update,direct,44
BaseObjectClass_UpdateNodeOnly,BaseObjectClass,UpdateNodeOnly,direct,56
BlinkingLightProperty_GetDuration,BlinkingLightProperty,GetDuration,direct,2
BlinkingLightProperty_GetPeriod,BlinkingLightProperty,GetPeriod,direct,2
BlinkingLightProperty_GetRadius,BlinkingLightProperty,GetRadius,direct,2
BlinkingLightProperty_GetTextureName,BlinkingLightProperty,GetTextureName,direct,2
BlinkingLightProperty_SetColor,BlinkingLightProperty,SetColor,direct,2
BlinkingLightProperty_SetDuration,BlinkingLightProperty,SetDuration,direct,2
BlinkingLightProperty_SetPeriod,BlinkingLightProperty,SetPeriod,direct,2
BlinkingLightProperty_SetRadius,BlinkingLightProperty,SetRadius,direct,2
BlinkingLightProperty_SetTextureName,BlinkingLightProperty,SetTextureName,direct,2
BridgeEffectAction_GetHardpointName,BridgeEffectAction,GetHardpointName,direct,2
BridgeObjectClass_CreateEffect,BridgeObjectClass,CreateEffect,direct,2
BridgeObjectClass_DoCrewReactions,BridgeObjectClass,DoCrewReactions,direct,2
BridgeObjectClass_FlickerLCARs,BridgeObjectClass,FlickerLCARs,direct,2
BridgeObjectClass_GoToGreenAllert,BridgeObjectClass,GoToGreenAllert,direct,2
BridgeObjectClass_GoToRedAllert,BridgeObjectClass,GoToRedAllert,direct,2
BridgeObjectClass_GoToYellowAllert,BridgeObjectClass,GoToYellowAllert,direct,2
BridgeObjectClass_TurnLCARsOff,BridgeObjectClass,TurnLCARsOff,direct,2
BridgeObjectClass_TurnLCARsOn,BridgeObjectClass,TurnLCARsOn,direct,2
BridgeSet_GetConfig,BridgeSet,GetConfig,direct,2
BridgeSet_IsSameConfig,BridgeSet,IsSameConfig,direct,2
BridgeSet_SetConfig,BridgeSet,SetConfig,direct,2
BridgeSet_SetViewScreen,BridgeSet,SetViewScreen,direct,2
BuildMissionMenu,,BuildMissionMenu,python_wrapper,2
BuilderAI_AddAIBlock,BuilderAI,AddAIBlock,direct,2
BuilderAI_AddDependency,BuilderAI,AddDependency,direct,2
CPyDebug_Print,CPyDebug,Print,direct,2
CalculateRoughDirection,,CalculateRoughDirection,python_wrapper,12
CallExternalFunction,,CallExternalFunction,python_wrapper,20
CameraMode_GetAttrFloat,CameraMode,GetAttrFloat,direct,2
CameraMode_GetAttrID,CameraMode,GetAttrID,direct,2
CameraMode_GetName,CameraMode,GetName,direct,2
CameraMode_IsValid,CameraMode,IsValid,direct,2
CameraMode_Reset,CameraMode,Reset,direct,2
CameraMode_SetAttrFloat,CameraMode,SetAttrFloat,direct,2
CameraMode_SetAttrID,CameraMode,SetAttrID,direct,2
CameraMode_SetAttrIDObject,CameraMode,SetAttrIDObject,direct,2
CameraMode_SetAttrPoint,CameraMode,SetAttrPoint,direct,2
CameraMode_SnapToIdealPosition,CameraMode,SnapToIdealPosition,direct,2
CameraMode_Update,CameraMode,Update,direct,2
CameraObjectClass_AddModeHierarchy,CameraObjectClass,AddModeHierarchy,direct,6
CameraObjectClass_AddNamedCameraMode,CameraObjectClass,AddNamedCameraMode,direct,6
CameraObjectClass_LookToward,CameraObjectClass,LookToward,direct,6
CameraObjectClass_PopCameraMode,CameraObjectClass,PopCameraMode,direct,6
CameraObjectClass_PushCameraMode,CameraObjectClass,PushCameraMode,direct,6
CameraObjectClass_SetFrustum,CameraObjectClass,SetFrustum,direct,6
CameraObjectClass_SetFrustumValues,CameraObjectClass,SetFrustumValues,direct,6
CameraObjectClass_SetNearAndFarDistance,CameraObjectClass,SetNearAndFarDistance,direct,6
CameraObjectClass_SetNiFrustum,CameraObjectClass,SetNiFrustum,direct,6
CameraObjectClass_Zoom,CameraObjectClass,Zoom,direct,6
ChangeRenderedSetAction_SetName,ChangeRenderedSetAction,SetName,direct,2
CharacterAction_Completed,CharacterAction,Completed,direct,2
CharacterAction_GetActionType,CharacterAction,GetActionType,direct,2
CharacterAction_GetDetail,CharacterAction,GetDetail,direct,2
CharacterAction_Play,CharacterAction,Play,direct,2
CharacterAction_SetPriority,CharacterAction,SetPriority,direct,2
CharacterAction_SetSubPriority,CharacterAction,SetSubPriority,direct,2
CharacterAction_UseNameAndSetInsteadOfObject,CharacterAction,UseNameAndSetInsteadOfObject,direct,2
CharacterClass_AddAnimation,CharacterClass,AddAnimation,direct,2
CharacterClass_AddFacialImage,CharacterClass,AddFacialImage,direct,2
CharacterClass_AddPhoneme,CharacterClass,AddPhoneme,direct,2
CharacterClass_AddPositionZoom,CharacterClass,AddPositionZoom,direct,2
CharacterClass_AddRandomAnimation,CharacterClass,AddRandomAnimation,direct,2
CharacterClass_AddSoundToQueue,CharacterClass,AddSoundToQueue,direct,2
CharacterClass_Blink,CharacterClass,Blink,direct,2
CharacterClass_Breathe,CharacterClass,Breathe,direct,2
CharacterClass_ClearAnimations,CharacterClass,ClearAnimations,direct,2
CharacterClass_ClearAnimationsOfType,CharacterClass,ClearAnimationsOfType,direct,2
CharacterClass_ClearExtraAnimations,CharacterClass,ClearExtraAnimations,direct,2
CharacterClass_ClearFlags,CharacterClass,ClearFlags,direct,2
CharacterClass_ClearStatus,CharacterClass,ClearStatus,direct,2
CharacterClass_GetAudioMode,CharacterClass,GetAudioMode,direct,2
CharacterClass_GetBlinkChance,CharacterClass,GetBlinkChance,direct,2
CharacterClass_GetCharacterName,CharacterClass,GetCharacterName,direct,2
CharacterClass_GetGender,CharacterClass,GetGender,direct,2
CharacterClass_GetHeadHeight,CharacterClass,GetHeadHeight,direct,2
CharacterClass_GetLastTalkTime,CharacterClass,GetLastTalkTime,direct,2
CharacterClass_GetLocation,CharacterClass,GetLocation,direct,2
CharacterClass_GetPositionLookAtName,CharacterClass,GetPositionLookAtName,direct,2
CharacterClass_GetPositionZoom,CharacterClass,GetPositionZoom,direct,2
CharacterClass_GetRandomAnimationChance,CharacterClass,GetRandomAnimationChance,direct,2
CharacterClass_GetSize,CharacterClass,GetSize,direct,2
CharacterClass_GetTurnTowardsLocation,CharacterClass,GetTurnTowardsLocation,direct,2
CharacterClass_GetYesSir,CharacterClass,GetYesSir,direct,2
CharacterClass_GlanceAt,CharacterClass,GlanceAt,direct,2
CharacterClass_GlanceAway,CharacterClass,GlanceAway,direct,2
